company_name,company_country,company_employees,company_website,address name,city,location type,file_name
INTESA SANPAOLO ASSICURA SPA,ITALY|ITALY,22,https://www.info-clipper.com/en/company/italy/intesa-sanpaolo-assicura-spa.itd7lgovc.html,CORSO INGHILTERRA 3,TORINO,Headquarter,wissel_aziende_info_clipper
SWEDBANK SUPPORT OU,ESTONIA|ESTONIA,23,https://www.info-clipper.com/en/company/estonia/swedbank-support-ou.eedao0q2z.html,Liivalaia tn 8,Tallinn,Single address,wissel_aziende_info_clipper
INTERNATIONAL SOURCING COMPANY. INC.,Tennessee(TN)|UNITED STATES,24,https://www.info-clipper.com/en/company/united-states/international-sourcing-company-inc.usdefrt4i.html,4025 VISCOUNT AVE,MEMPHIS,Headquarter,wissel_aziende_info_clipper
RONLY LIMITED,UNITED KINGDOM|UNITED KINGDOM,25,https://www.info-clipper.com/en/company/united-kingdom/ronly-limited.gbde5qo3b.html,201 Haverstock Hill,LONDON,Headquarter,wissel_aziende_info_clipper
CIRO PAONE SPA,ITALY|ITALY,26,https://www.info-clipper.com/en/company/italy/ciro-paone-spa.itd78oejy.html,VIALE DELLE INDUSTRIE SNC,ARZANO,Headquarter,wissel_aziende_info_clipper
ASTEL GARDEN GROUP OU,ESTONIA|ESTONIA,27,https://www.info-clipper.com/en/company/estonia/astel-garden-group-ou.eedbcyj27.html,Veski poik 3,Assaku alevik. Rae vald,Headquarter,wissel_aziende_info_clipper
BRIDGESTONE AMERICAS. INC.,Tennessee(TN)|UNITED STATES,28|BRIDGESTONE AMERICAS SOURCING,https://www.info-clipper.com/en/company/united-states/bridgestone-americas-inc.usd1of1y2.html,200 4TH AVE S STE 100,NASHVILLE,Headquarter,wissel_aziende_info_clipper
THE ENCORE GROUP (ENVELOPES AND PACKAGING) LIMITED,UNITED KINGDOM|UNITED KINGDOM,29,https://www.info-clipper.com/en/company/united-kingdom/the-encore-group-limited.gbd4sm5kg.html,Industrial Road Hertburn Industrial Estate Hertburn,WASHINGTON,Headquarter,wissel_aziende_info_clipper
DIAMALTERIA ITALIANA SRL,ITALY|ITALY,30,https://www.info-clipper.com/en/company/italy/diamalteria-italiana-srl.itd79knic.html,PIAZZA SICILIA 6,MILANO,Headquarter,wissel_aziende_info_clipper
ABC GARDEN OU,ESTONIA|ESTONIA,31,https://www.info-clipper.com/en/company/estonia/abc-garden-ou.eed8vdhlz.html,Variku tee 6-1,Tallinn,Headquarter,wissel_aziende_info_clipper
UNITED RENTALS. INC.,Connecticut(CT)|UNITED STATES,32,https://www.info-clipper.com/en/company/united-states/united-rentals-inc.usd2wzg5l.html,100 1ST STAMFORD PL STE 700,STAMFORD,Headquarter,wissel_aziende_info_clipper
DASSAULT SYSTEMES UK LIMITED,UNITED KINGDOM|UNITED KINGDOM,33,https://www.info-clipper.com/en/company/united-kingdom/dassault-systemes-uk-limited.gbdalk20y.html,Unit 9. Riley Court Milburn Hill Road,COVENTRY,Headquarter,wissel_aziende_info_clipper
CREMOFIN SRL,ITALY|ITALY,34,https://www.info-clipper.com/en/company/italy/cremofin-srl.itdatvecg.html,VIA MODENA 53,CASTELVETRO DI MODENA,Headquarter,wissel_aziende_info_clipper
BRANDGATE GROUP OU,ESTONIA|ESTONIA,35,https://www.info-clipper.com/en/company/estonia/brandgate-group-ou.eed9crrp0.html,Erika tn 14,Tallinn,Headquarter,wissel_aziende_info_clipper
MERCK SHARP & DOHME LLC,New Jersey(NJ)|UNITED STATES,36,https://www.info-clipper.com/en/company/united-states/merck-sharp-dohme-llc.usds8o1.html,126 E LINCOLN AVE,RAHWAY,Headquarter,wissel_aziende_info_clipper
IMPERIAL COLLEGE LONDON LIMITED,UNITED KINGDOM|UNITED KINGDOM,37,https://www.info-clipper.com/en/company/united-kingdom/imperial-college-london-limited.gbd70wecd.html,FACULTY BUILDING. LEVEL 1 SOUTH KENSINGTON CAMPUS,LONDON,Headquarter,wissel_aziende_info_clipper
FEDRIGONI SPA,ITALY|ITALY,38,https://www.info-clipper.com/en/company/italy/fedrigoni-spa.itd8i5y9w.html,VIA ENRICO FERMI 13/F,VERONA,Headquarter,wissel_aziende_info_clipper
AURUM OU,ESTONIA|ESTONIA,39,https://www.info-clipper.com/en/company/estonia/aurum-ou.eedao69xw.html,Kullassepa tn 4,Tallinn,Single address,wissel_aziende_info_clipper
MERCK SHARP & DOHME (I.A.) LLC,New Jersey(NJ)|UNITED STATES,40,https://www.info-clipper.com/en/company/united-states/merck-sharp-dohme-llc.usdm4mki.html,126 E LINCOLN AVE,RAHWAY,Headquarter,wissel_aziende_info_clipper
Nottinghamshire Healthcare N H S Foundation Trust,UNITED KINGDOM|UNITED KINGDOM,41,https://www.info-clipper.com/en/company/united-kingdom/nottinghamshire-healthcare-n-h-s-foundation-trust.gbd3u0k45.html,Duncan Macmillan House Porchester Road,NOTTINGHAM,Headquarter,wissel_aziende_info_clipper
EIFFAGE INFRAESTRUCTURAS SA,ITALY|ITALY,42,https://www.info-clipper.com/en/company/italy/eiffage-infraestructuras-sa.itd78mbsm.html,PIAZZA ATTIAS 13,LIVORNO,Single address,wissel_aziende_info_clipper
BOLT TECHNOLOGY OU,ESTONIA|ESTONIA,43,https://www.info-clipper.com/en/company/estonia/bolt-technology-ou.eed8d5oj6.html,Vana-Louna tn 15,Tallinn,Headquarter,wissel_aziende_info_clipper
MERCK SHARP & DOHME (ARGENTINA) INC.,New Jersey(NJ)|UNITED STATES,44,https://www.info-clipper.com/en/company/united-states/merck-sharp-dohme-inc.usdczdpty.html,126 E LINCOLN AVE,RAHWAY,Headquarter,wissel_aziende_info_clipper
LIBERTY FINANCE MANAGEMENT (LIG) LTD,UNITED KINGDOM|UNITED KINGDOM,45,https://www.info-clipper.com/en/company/united-kingdom/liberty-finance-management-ltd.gbd3nr7ik.html,2nd Floor 40 Grosvenor Place,LONDON,Single address,wissel_aziende_info_clipper
SAFE SPA,ITALY|ITALY,46,https://www.info-clipper.com/en/company/italy/safe-spa.itd5m8l01.html,VIA FERRUCCIO LAMBORGHINI 18,SAN GIOVANNI IN PERSICETO,Headquarter,wissel_aziende_info_clipper
GAME MACHINE OU,ESTONIA|ESTONIA,47,https://www.info-clipper.com/en/company/estonia/game-machine-ou.eed604i0t.html,Ravala pst 8,Tallinn,Headquarter,wissel_aziende_info_clipper
HL MANDO AMERICA CORPORATION,Alabama(AL)|UNITED STATES,48|MANDO,https://www.info-clipper.com/en/company/united-states/hl-mando-america-corporation.usdfdctrs.html,4201 NORTHPARK DR,OPELIKA,Headquarter,wissel_aziende_info_clipper
GCP ASSET MANAGEMENT (UK) LTD,UNITED KINGDOM|UNITED KINGDOM,49,https://www.info-clipper.com/en/company/united-kingdom/gcp-asset-management-ltd.gbd3qniyk.html,2nd Floor Kingsbourne House. 229-231 High Holborn,LONDON,Single address,wissel_aziende_info_clipper
STMICROELECTRONICS SRL,ITALY|ITALY,50|STM,https://www.info-clipper.com/en/company/italy/stmicroelectronics-srl.itd783g70.html,VIA CAMILLO OLIVETTI 2,AGRATE BRIANZA,,wissel_aziende_info_clipper
MILWORKS OU,ESTONIA|ESTONIA,51,https://www.info-clipper.com/en/company/estonia/milworks-ou.eed604b6u.html,Sarruse tn 3,Tallinn,Single address,wissel_aziende_info_clipper
HYATT HOTELS OF FLORIDA. INC.,Florida(FL)|UNITED STATES,52|HYATT REGENCY ORLANDO,https://www.info-clipper.com/en/company/united-states/hyatt-hotels-of-florida-inc.usd2fxy9g.html,9801 INTERNATIONAL DR,ORLANDO,Single address,wissel_aziende_info_clipper
GARNET UK 7 NEW LIMITED,UNITED KINGDOM|UNITED KINGDOM,53,https://www.info-clipper.com/en/company/united-kingdom/garnet-uk-7-new-limited.gbd3qnj0a.html,2nd Floor Kingsbourne House. 229-231 High Holborn,LONDON,Single address,wissel_aziende_info_clipper
TRAVAGLINI LOGISTIC AND TRANSPORT SRL,ITALY|ITALY,54|TRAVAGLINI,https://www.info-clipper.com/en/company/italy/travaglini-logistic-and-transport-srl.itd8yjfru.html,VIA PALERMO 21-23,ATESSA,,wissel_aziende_info_clipper
BOLT OPERATIONS OU,ESTONIA|ESTONIA,55,https://www.info-clipper.com/en/company/estonia/bolt-operations-ou.eed8vcqq5.html,Vana-Louna tn 15,Tallinn,Headquarter,wissel_aziende_info_clipper
KOLB-LENA. INC.,Illinois(IL)|UNITED STATES,56,https://www.info-clipper.com/en/company/united-states/kolb-lena-inc.usdvoe4t.html,3990 N SUNNYSIDE RD,LENA,Single address,wissel_aziende_info_clipper
GARNET UK 7 NEW RESIDENTIAL LIMITED,UNITED KINGDOM|UNITED KINGDOM,57,https://www.info-clipper.com/en/company/united-kingdom/garnet-uk-7-new-residential-limited.gbd3qqt9p.html,2nd Floor Kingsbourne House. 229-231 High Holborn,LONDON,Single address,wissel_aziende_info_clipper
HUNTSMAN GOMET SRL,ITALY|ITALY,58,https://www.info-clipper.com/en/company/italy/huntsman-gomet-srl.itd78qypq.html,STRADA TOMBOLETO 12,AZEGLIO,Headquarter,wissel_aziende_info_clipper
B-BUS OU,ESTONIA|ESTONIA,59,https://www.info-clipper.com/en/company/estonia/b-bus-ou.eed8vcsxg.html,Narva mnt 5,Tallinn,Single address,wissel_aziende_info_clipper
VERIZON INTERNATIONAL HOLDINGS INC.,Delaware(DE)|UNITED STATES,60,https://www.info-clipper.com/en/company/united-states/verizon-international-holdings-inc.usddpw757.html,3900 N WASHINGTON ST STE 2,WILMINGTON,Headquarter,wissel_aziende_info_clipper
GARNET UK 23 NEW LIMITED,UNITED KINGDOM|UNITED KINGDOM,61,https://www.info-clipper.com/en/company/united-kingdom/garnet-uk-23-new-limited.gbd3qstzt.html,2nd Floor Kingsbourne House. 229-231 High Holborn,LONDON,Single address,wissel_aziende_info_clipper
JOHNSON CONTROLS ITALIA SRL,ITALY|ITALY,62,https://www.info-clipper.com/en/company/italy/johnson-controls-italia-srl.itd72wh92.html,VIA MILANESE 124,CINISELLO BALSAMO,Headquarter,wissel_aziende_info_clipper
LUMINOR BANK AS,ESTONIA|ESTONIA,63,https://www.info-clipper.com/en/company/estonia/luminor-bank-as.eed9crwlr.html,Liivalaia tn 45,Tallinn,Headquarter,wissel_aziende_info_clipper
MICRO FOCUS (US) INTERNATIONAL HOLDINGS. INC.,Delaware(DE)|UNITED STATES,64,https://www.info-clipper.com/en/company/united-states/micro-focus-international-holdings-inc.usd1y0wi3.html,1209 N ORANGE ST,WILMINGTON,Headquarter,wissel_aziende_info_clipper
TURNER BROADCASTING SYSTEM EUROPE LIMITED,UNITED KINGDOM|UNITED KINGDOM,65,https://www.info-clipper.com/en/company/united-kingdom/turner-broadcasting-system-europe-limited.gbd4w10u9.html,Turner House 16 Great Marlborough Street,LONDON,Headquarter,wissel_aziende_info_clipper
JOHNSON ELECTRIC ASTI SRL,ITALY|ITALY,66,https://www.info-clipper.com/en/company/italy/johnson-electric-asti-srl.itd73fmxg.html,CORSO ALESSANDRIA 395,ASTI,Headquarter,wissel_aziende_info_clipper
TALLINK AS,ESTONIA|ESTONIA,67,https://www.info-clipper.com/en/company/estonia/tallink-as.eed626xgr.html,Sadama tn 5,Tallinn,Headquarter,wissel_aziende_info_clipper
USF INTERNATIONAL HOLDINGS. LLC,Delaware(DE)|UNITED STATES,68,https://www.info-clipper.com/en/company/united-states/usf-international-holdings-llc.usd1yblms.html,1209 ORANGE STE,WILMINGTON,Headquarter,wissel_aziende_info_clipper
SOUTHERN PARKS LIMITED,UNITED KINGDOM|UNITED KINGDOM,69|Aria Resorts,https://www.info-clipper.com/en/company/united-kingdom/southern-parks-limited.gbd3lwnlc.html,The Maylands Building 200 Maylands Avenue. Hemel Hempstead Industrial Estate,HEMEL HEMPSTEAD,,wissel_aziende_info_clipper
MOBY SPA,ITALY|ITALY,70,https://www.info-clipper.com/en/company/italy/moby-spa.itd7a2prk.html,VIA LARGA 26,MILANO,Headquarter,wissel_aziende_info_clipper
TALLINK GRUPP AS,ESTONIA|ESTONIA,71,https://www.info-clipper.com/en/company/estonia/tallink-grupp-as.eedao5lpi.html,Sadama tn 5,Tallinn,Headquarter,wissel_aziende_info_clipper
GANTREX. INC.,Pennsylvania(PA)|UNITED STATES,72,https://www.info-clipper.com/en/company/united-states/gantrex-inc.usd213tq3.html,6000 TOWN CENTER BLVD STE 240,CANONSBURG,Single address,wissel_aziende_info_clipper
CVC ADVISERS LIMITED,UNITED KINGDOM|UNITED KINGDOM,73,https://www.info-clipper.com/en/company/united-kingdom/cvc-advisers-limited.gbdc5dfag.html,111 Strand,LONDON,Headquarter,wissel_aziende_info_clipper
GALPERTI ENGINEERING AND FLOW CONTROL SPA,ITALY|ITALY,74,https://www.info-clipper.com/en/company/italy/galperti-engineering-and-flow-control-spa.itd8i2fj4.html,VIA PRATI DELLA ROSA 17,COLICO (ZONA INDUSTRIALE ),Headquarter,wissel_aziende_info_clipper
TOP CONNECT OU,ESTONIA|ESTONIA,75,https://www.info-clipper.com/en/company/estonia/top-connect-ou.eed8unvvo.html,Vaike-Paala tn 1,Tallinn,Headquarter,wissel_aziende_info_clipper
ALABAMA POWER COMPANY,Alabama(AL)|UNITED STATES,76,https://www.info-clipper.com/en/company/united-states/alabama-power-company.usd43w60.html,600 N 18TH ST,BIRMINGHAM,Headquarter,wissel_aziende_info_clipper
PENGUIN RANDOM HOUSE LIMITED,UNITED KINGDOM|UNITED KINGDOM,77,https://www.info-clipper.com/en/company/united-kingdom/penguin-random-house-limited.gbd3smzhu.html,20 VAUXHALL BRIDGE ROAD,LONDON,Headquarter,wissel_aziende_info_clipper
ABB SPA,ITALY|ITALY,78,https://www.info-clipper.com/en/company/italy/abb-spa.itd72y6i2.html,VIA LUCIANO LAMA 33,SESTO SAN GIOVANNI,Headquarter,wissel_aziende_info_clipper
PONTOS BALTIC AS,ESTONIA|ESTONIA,79,https://www.info-clipper.com/en/company/estonia/pontos-baltic-as.eedanofin.html,Viru valjak 4,Tallinn,Headquarter,wissel_aziende_info_clipper
CONSTRUCTION PARTNERS. INC.,Alabama(AL)|UNITED STATES,80,https://www.info-clipper.com/en/company/united-states/construction-partners-inc.usd5zdwd.html,290 HEALTHWEST DR STE 2,DOTHAN,Headquarter,wissel_aziende_info_clipper
THE RANDOM HOUSE GROUP LIMITED,UNITED KINGDOM|UNITED KINGDOM,81,https://www.info-clipper.com/en/company/united-kingdom/the-random-house-group-limited.gbd3i7f2t.html,Whole Building 20 Vauxhall Bridge Road,LONDON,Headquarter,wissel_aziende_info_clipper
OLI SPA,ITALY|ITALY,82,https://www.info-clipper.com/en/company/italy/oli-spa.itd73gt5d.html,VIA CANALAZZO 35,MEDOLLA,Headquarter,wissel_aziende_info_clipper
SANDMANI GRUPI AS,ESTONIA|ESTONIA,83,https://www.info-clipper.com/en/company/estonia/sandmani-grupi-as.eed898jkc.html,Laki poik 6,Tallinn,Headquarter,wissel_aziende_info_clipper
GADSDEN REGIONAL MEDICAL CENTER. LLC,Alabama(AL)|UNITED STATES,84,https://www.info-clipper.com/en/company/united-states/gadsden-regional-medical-center-llc.usd2jg16a.html,1007 GOODYEAR AVE,GADSDEN,Headquarter,wissel_aziende_info_clipper
AVANTI GAS LIMITED,UNITED KINGDOM|UNITED KINGDOM,85,https://www.info-clipper.com/en/company/united-kingdom/avanti-gas-limited.gbd4rp22h.html,Fao Sophie Leedham Ugi House Gisborne Close. Staveley,CHESTERFIELD,Headquarter,wissel_aziende_info_clipper
OLI EBIKE SYSTEMS SRL,ITALY|ITALY,86,https://www.info-clipper.com/en/company/italy/oli-ebike-systems-srl.itd7au74p.html,STRADA DEGLI SCHIOCCHI 12,MODENA,Headquarter,wissel_aziende_info_clipper
PRFOODS AS,ESTONIA|ESTONIA,87,https://www.info-clipper.com/en/company/estonia/prfoods-as.eed9co32f.html,Parnu mnt 141,Tallinn,Headquarter,wissel_aziende_info_clipper
LUMINATE CAPITAL PARTNERS II. LP,California(CA)|UNITED STATES,88,https://www.info-clipper.com/en/company/united-states/luminate-capital-partners-ii-lp.usd1btgka.html,1 LETTERMAN DR STE CM 500,SAN FRANCISCO,Headquarter,wissel_aziende_info_clipper
BOUYGUES E&S SOLUTIONS LIMITED,UNITED KINGDOM|UNITED KINGDOM,89|BOUYGUES CONSTRUCTION,https://www.info-clipper.com/en/company/united-kingdom/bouygues-es-solutions-limited.gbd3obmrq.html,Becket House 1 Lambeth Palace Road,LONDON,,wissel_aziende_info_clipper
BUSINESS INTEGRATION PARTNERS SPA,ITALY|ITALY,90,https://www.info-clipper.com/en/company/italy/business-integration-partners-spa.itd7ep1t8.html,PIAZZA SAN BABILA 5,MILANO,Headquarter,wissel_aziende_info_clipper
SCHNEIDER ELECTRIC EESTI AS,ESTONIA|ESTONIA,91,https://www.info-clipper.com/en/company/estonia/schneider-electric-eesti-as.eedao7t44.html,Parnu mnt 139e/2,Tallinn,Single address,wissel_aziende_info_clipper
WALMART INC.,Arkansas(AR)|UNITED STATES,92,https://www.info-clipper.com/en/company/united-states/walmart-inc.usduxmvd.html,702 SW 8TH ST,BENTONVILLE,Headquarter,wissel_aziende_info_clipper
BOUYGUES (U.K.) LIMITED,UNITED KINGDOM|UNITED KINGDOM,93,https://www.info-clipper.com/en/company/united-kingdom/bouygues-limited.gbd8vg5kt.html,Becket House 1 Lambeth Palace Road,LONDON,Headquarter,wissel_aziende_info_clipper
SOCIETA' GESTIONE SERVIZI AEROPORTI CAMPANI GE.S.A.C. SPA,ITALY|ITALY,94|AEROPORTO INTERNAZIONALE DI NAPOLI,https://www.info-clipper.com/en/company/italy/societa-gestione-servizi-aeroporti-campani-gesac-spa.itd74p0fn.html,UFFICI DIREZIONALI GESAC SNC,NAPOLI (AEROPORTO DI CAPODICHINO ),,wissel_aziende_info_clipper
KODUMAJA AS,ESTONIA|ESTONIA,95,https://www.info-clipper.com/en/company/estonia/kodumaja-as.eed9ct6ci.html,Puidu tn 2,Tartu. Tartu,Headquarter,wissel_aziende_info_clipper
WAL-MART STORES EAST. LP,Arkansas(AR)|UNITED STATES,96|WALMART,https://www.info-clipper.com/en/company/united-states/wal-mart-stores-east-lp.usddqkpnf.html,702 SW 8TH ST,BENTONVILLE,Headquarter,wissel_aziende_info_clipper
DELOITTE LLP,UNITED KINGDOM|UNITED KINGDOM,97,https://www.info-clipper.com/en/company/united-kingdom/deloitte-llp.gbd6173h7.html,1 New Street Square,LONDON,Headquarter,wissel_aziende_info_clipper
UNIVERSITA' DEGLI STUDI SUOR ORSOLA BENINCASA,ITALY|ITALY,98,https://www.info-clipper.com/en/company/italy/universita-degli-studi-suor-orsola-benincasa.itd7ep0go.html,CORSO VITTORIO EMANUELE 292,NAPOLI,Headquarter,wissel_aziende_info_clipper
IIZI KINDLUSTUSMAAKLER AS,ESTONIA|ESTONIA,99,https://www.info-clipper.com/en/company/estonia/iizi-kindlustusmaakler-as.eed5ycjcj.html,Telliskivi tn 60/2,Tallinn,Headquarter,wissel_aziende_info_clipper
PALO ALTO NETWORKS. INC.,California(CA)|UNITED STATES,100,https://www.info-clipper.com/en/company/united-states/palo-alto-networks-inc.usd39yxhf.html,3000 TANNERY WAY,SANTA CLARA,Headquarter,wissel_aziende_info_clipper
DELOITTE MCS LIMITED,UNITED KINGDOM|UNITED KINGDOM,101|DELOITTE,https://www.info-clipper.com/en/company/united-kingdom/deloitte-mcs-limited.gbd69lict.html,1 New Street Square,LONDON,,wissel_aziende_info_clipper
LOMBARD INTERNATIONAL ASSURANCE S.A.,ITALY|ITALY,102,https://www.info-clipper.com/en/company/italy/lombard-international-assurance-sa.itd76t5j4.html,PIAZZA SAN MARCO 3,MILANO,Headquarter,wissel_aziende_info_clipper
MARSH KINDLUSTUSMAAKLER AS,ESTONIA|ESTONIA,103,https://www.info-clipper.com/en/company/estonia/marsh-kindlustusmaakler-as.eedaphxhc.html,Tartu mnt 18,Tallinn,Single address,wissel_aziende_info_clipper
TONOGA. INC.,New York(NY)|UNITED STATES,104|TACONIC,https://www.info-clipper.com/en/company/united-states/tonoga-inc.usd18mwm.html,95-136 COONBROOK RD,PETERSBURG,Headquarter,wissel_aziende_info_clipper
FIRST MTR SOUTH WESTERN TRAINS LIMITED,UNITED KINGDOM|UNITED KINGDOM,105,https://www.info-clipper.com/en/company/united-kingdom/first-mtr-south-western-trains-limited.gbd3lw6qg.html,8th Floor The Point. 37 North Wharf Road,LONDON,Single address,wissel_aziende_info_clipper
PM SRL,ITALY|ITALY,106,https://www.info-clipper.com/en/company/italy/pm-srl.itd78dcsx.html,VIALE SERENISSIMA 20,VIGONOVO,Headquarter,wissel_aziende_info_clipper
KROONPRESS AS,ESTONIA|ESTONIA,107,https://www.info-clipper.com/en/company/estonia/kroonpress-as.eed952xci.html,Tahe tn 133,Tartu. Tartu,Single address,wissel_aziende_info_clipper
EVOQUA WATER TECHNOLOGIES LLC,Pennsylvania(PA)|UNITED STATES,108,https://www.info-clipper.com/en/company/united-states/evoqua-water-technologies-llc.usd2hs2fi.html,210 6TH AVE STE 3300,PITTSBURGH,Headquarter,wissel_aziende_info_clipper
ABELLIO SCOTRAIL LTD,UNITED KINGDOM|UNITED KINGDOM,109,https://www.info-clipper.com/en/company/united-kingdom/abellio-scotrail-ltd.gbd3mnavy.html,Culzean House 36 Renfield Street,GLASGOW,Headquarter,wissel_aziende_info_clipper
BIOCHEM SRL,ITALY|ITALY,110,https://www.info-clipper.com/en/company/italy/biochem-srl.itd77bwtu.html,VIA GIOVANNI BENINI 13,ZOLA PREDOSA,Headquarter,wissel_aziende_info_clipper
MAKSEKESKUS HOLDING OU,ESTONIA|ESTONIA,111,https://www.info-clipper.com/en/company/estonia/maksekeskus-holding-ou.eed8d5c96.html,Niine tn 11,Tallinn,Headquarter,wissel_aziende_info_clipper
INSTITUTIONAL SHAREHOLDER SERVICES INC.,Maryland(MD)|UNITED STATES,112|ISS,https://www.info-clipper.com/en/company/united-states/institutional-shareholder-services-inc.usddrtyjd.html,702 KING FARM BLVD STE 400,ROCKVILLE,Headquarter,wissel_aziende_info_clipper
DEMEX LIMITED,UNITED KINGDOM|UNITED KINGDOM,113,https://www.info-clipper.com/en/company/united-kingdom/demex-limited.gbd3iw6z4.html,Bernera Works Psalters Lane,ROTHERHAM,Headquarter,wissel_aziende_info_clipper
4WARD SRL,ITALY|ITALY,114,https://www.info-clipper.com/en/company/italy/4ward-srl.itd5llxjn.html,VIA LOMBARDIA 2/A,PESCHIERA BORROMEO,Headquarter,wissel_aziende_info_clipper
