ID,Name,Code,Legal form,Status,Registration Date,Capital,Address,Area of Activity,EMTAK Code,NACE Code,Partners,Partner_Participations,Partner_Contributions,Representatives,Representative_Roles,Representative_Start_Dates,Deletion Date
22,OÃœAESPAJUUKSUR(12260290),12260290.0,Private limited company,Enteredintotheregister,03.04.2012,Capitalis2Â 500Â â‚¬,Rapla maakond Kohila vald Aespa alevik RÃµÃµmu tn 4 79705,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,\n                                        Liivika Salum\xc3\xa4gi\n,100.00%,\n                                    2500.00 EUR,\n                                Liivika Salum\xc3\xa4gi\n,\n                                Management board member\n,03.04.2012,
23,MittetulundusÃ¼hingAespaKodu(80329470),80329470.0,Non-profit association,Enteredintotheregister,06.07.2011,,Rapla maakond Kohila vald Aespa alevik Astra tn 12 79705,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,,,,\n                                Alina Rump\n,\n                                Management board member\n,06.07.2011,
24,OÃœAespaL(11079513),11079513.0,Private limited company,Enteredintotheregister,19.10.2004,Capitalis60Â 000Â EEK,Rapla maakond Kohila vald Aespa alevik Aespa ringtee 3 79732,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,"\n                                        Igor Loja\n, \n                                        Aivar Loja\n","66.67%, 33.33%","\n                                    40000.00 EEK, \n                                    20000.00 EEK",\n                                Igor Loja\n,\n                                Management board member\n,02.01.2006,
25,AespanOÃœ(16126714),16126714.0,Private limited company,Enteredintotheregister,23.12.2020,Capitalis2Â 500Â â‚¬,Rapla maakond Kohila vald Aespa alevik Kapa vkt 18 79705,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,\n                                        Mart Remmel\n,100.00%,\n                                    2500.00 EUR,\n                                Mart Remmel\n,\n                                Management board member\n,23.12.2020,
26,OsaÃ¼hingAFloors(11468211),11468211.0,Private limited company,Deleted,08.02.2008,,,,,,,,,,,,22.01.2016
27,AgnesiumOÃœ(11459782),11459782.0,Private limited company,Enteredintotheregister,15.01.2008,Capitalis2Â 556Â â‚¬,Ida-Viru maakond Narva linn Tehase tn 3 20104,Computer programming activities,62011 (EMTAK 2008),62.01,\n,100.00%,\n                                    2556.00 EUR,\n                                Aleksandr Savin\n,\n                                Management board member\n,08.03.2018,
28,AiandusÃ¼hingAESPASÃ•PRUS(80171891),80171891.0,Non-profit association,Deleted,10.07.2002,,,,,,,,,,,,15.12.2015
29,AiandusÃ¼histuAespa(80161303),80161303.0,Non-profit association,Deleted,04.01.2002,,,,,,,,,,,,02.05.2012
30,AiandusÃ¼histuAESPA-12(80074981),80074981.0,Non-profit association,Deleted,09.03.1999,,,,,,,,,,,,06.07.2018
31,AiandusÃ¼histuAespa14(80067372),80067372.0,Non-profit association,Deleted,28.01.1999,,,,,,,,,,,,06.06.2017
32,AiandusÃ¼histuAespa-29(80074828),80074828.0,Non-profit association,Deleted,09.03.1999,,,,,,,,,,,,25.02.2021
33,AiandusÃ¼histuAespaAllika(80092855),80092855.0,Non-profit association,Enteredintotheregister,07.05.1999,,Rapla maakond Kohila vald Aespa alevik 79701,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,,,,\n                                Aleksandr Beljavski\n,\n                                Management board member\n,02.01.2006,
34,AiandusÃ¼histuAespaFantaasia(80063612),80063612.0,Non-profit association,Enteredintotheregister,28.12.1998,,Rapla maakond Kohila vald Aespa alevik Fantaasia vkt 15 79705,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,,,,\n                                Ain Amboja\n,\n                                Management board member\n,02.01.2006,
35,AiandusÃ¼histuAespaKaseke(80023558),80023558.0,Non-profit association,Deleted,15.01.1998,,,,,,,,,,,,31.07.2012
36,AIANDUSÃœHISTUAESPAKUUSEKE(80133583),80133583.0,Non-profit association,Enteredintotheregister,09.10.2000,,Rapla maakond Kohila vald Aespa alevik Kuuse vkt 1 79739,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,,,,\n                                Irina Paukova\n,\n                                Management board member\n,28.12.2006,
37,AiandusÃ¼histuAespaLoodus(80107752),80107752.0,Non-profit association,,10.09.1999,,Rapla maakond Kohila vald Aespa alevik 79701,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,,,,\n                                Merike Andrejev\n,\n                                Liquidator\n,31.12.2007,
38,AiandusÃ¼histuAespaMobile(80136713),80136713.0,Non-profit association,Enteredintotheregister,27.12.2000,,Harju maakond Tallinn MustamÃ¤e linnaosa Ehitajate tee 88-3 12915,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,,,,\n                                Svetlana T\xc5\xa1ern\xc3\xb5\xc5\xa1eva\n,\n                                Management board member\n,27.12.2000,
39,aiandusÃ¼histuAESPA-NURME(80064190),80064190.0,Non-profit association,Deleted,07.01.1999,,,,,,,,,,,,26.02.2010
40,AiandusÃ¼histuAespaPuravik(80039529),80039529.0,Non-profit association,Enteredintotheregister,09.06.1998,,Rapla maakond Kohila vald Aespa alevik Puraviku vkt 68 79705,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,,,,\n                                Diana Motovilova\n,\n                                Management board member\n,02.01.2006,
41,AiandusÃ¼histuAespaRosinka(80140293),80140293.0,Non-profit association,Deleted,11.01.2001,,,,,,,,,,,,23.05.2012
42,AiandusÃ¼histuAespaRukkilill(80097806),80097806.0,Non-profit association,Enteredintotheregister,24.05.1999,,Rapla maakond Kohila vald Aespa alevik 79701,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,,,,\n                                Ilmar Kolk\n,\n                                Management board member\n,02.01.2006,
43,AIANDUSÃœHISTUAESPASIGMA(80053861),80053861.0,Non-profit association,Deleted,05.11.1998,,,,,,,,,,,,02.12.2004
44,AiandusÃ¼histuAESPATELFO(80111742),80111742.0,Non-profit association,Deleted,09.11.1999,,,,,,,,,,,,27.03.2012
45,AiandusÃ¼histuKAPAAESPA(80102329),80102329.0,Non-profit association,Enteredintotheregister,29.06.1999,,Rapla maakond Kohila vald Aespa alevik Kapa vkt 18 79705,Landscape service activities,81301 (EMTAK 2008),81.3,,,,\n                                Mart Remmel\n,\n                                Management board member\n,28.07.2017,
46,AiandusÃ¼histuVedu-Aespa(80017776),80017776.0,Non-profit association,Enteredintotheregister,30.10.1997,,postiaadress:MustamÃ¤e tee 82-71 Tallinn asukoht: Kohila rural municipality Rapla county,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,,,,\n                                Maria Osipt\xc5\xa1uk\n,\n                                Management board member\n,02.01.2006,
47,OÃœAiduTÃ¶Ã¶stuspark(11306854),11306854.0,Private limited company,Deleted,12.10.2006,,,,,,,,,,,,20.05.2020
48,AiliRiispapp(12384365),12384365.0,Sole trader,Deleted,27.11.2012,,,,,,,,,,,,31.12.2013
49,AinaneLooduspaikOÃœ(14979217),14979217.0,Private limited company,Enteredintotheregister,27.05.2020,Capitalis2Â 500Â â‚¬,VÃµru maakond RÃµuge vald Luutsniku kÃ¼la Plaagi 65110,Bee keeping,01491 (EMTAK 2008),1.49,\n                                        Illimar Kalk\n,100.00%,\n                                    2500.00 EUR,\n                                Illimar Kalk\n,\n                                Management board member\n,27.05.2020,
50,OSAÃœHINGAIRSPACE(11009168),11009168.0,Private limited company,Enteredintotheregister,06.01.2004,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Rataskaevu tn 22 10123,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,"\n                                        Irina Varfolomeeva\n, \n                                        Nikita Petrov\n, \n                                        Savely Petrov\n, \n                                        Alexey Novichkov\n","50.00%, 50.00%, 50.00%, 50.00%","\n                                    1278.00 EUR, \n                                    1278.00 EUR, \n                                    1278.00 EUR, \n                                    1278.00 EUR",\n                                Heiki Tuul\n,\n                                Management board member\n,30.01.2004,
51,AitÃ¤h!OÃœ(12778992),12778992.0,Private limited company,Enteredintotheregister,08.01.2015,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Teatri vÃ¤ljak 3 10143,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,\n                                        M\xc3\xa4rten Tootmaa\n,100.00%,\n                                    2500.00 EUR,\n                                M\xc3\xa4rten Tootmaa\n,\n                                Management board member\n,22.07.2016,
52,AjaKSiivouspalveluOÃœ(14043183),14043183.0,Private limited company,Enteredintotheregister,04.05.2016,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Narva mnt 5 10117,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,\n                                        Tanel Terasmaa\n,100.00%,\n                                    2500.00 EUR,\n                                Ivo Piho\n,\n                                Management board member\n,14.06.2021,
53,AJConsultOÃœ(12992283),12992283.0,Private limited company,Enteredintotheregister,09.02.2016,Capitalis2Â 500Â â‚¬,Saare maakond Saaremaa vald Kuressaare linn Pikk tn 9a-2 93813,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,\n                                        Andres Jakovlev\n,100.00%,\n                                    2500.00 EUR,\n                                Andres Jakovlev\n,\n                                Management board member\n,09.02.2016,
54,AJ-VeljeksetrakennuspalvelutEestiOÃœ(16233456),16233456.0,Private limited company,Enteredintotheregister,19.05.2021,Capitalis2Â 500Â â‚¬,Harju maakond Viimsi vald Haabneeme alevik Hundi tee 13/1-6 74001,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,\n                                        Andres Jaakson\n,100.00%,\n                                    2500.00 EUR,\n                                Andres Jaakson\n,\n                                Management board member\n,19.05.2021,
55,Akwaba-SpaOÃœ(12623232),12623232.0,Private limited company,Enteredintotheregister,05.03.2014,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Mardi tn 1 10145,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,\n                                        Nahounou Claude Dalo\n,100.00%,\n                                    2500.00 EUR,\n                                Nahounou Claude Dalo\n,\n                                Management board member\n,05.03.2014,
56,OÃœAlarHaljasteSiivouspalvelus(11233517),11233517.0,Private limited company,Enteredintotheregister,02.05.2006,Capitalis2Â 556Â â‚¬,PÃµlva maakond Kanepi vald PÃµlgaste kÃ¼la PÃµlgaste keskus 7-1 63123,Other human resources provision,78301 (EMTAK 2008),78.3,\n                                        Alar Haljaste\n,100.00%,\n                                    2556.00 EUR,\n                                Alar Haljaste\n,\n                                Management board member\n,02.05.2006,
57,ALDONSPARTOÃœ(12607693),12607693.0,Private limited company,Enteredintotheregister,03.02.2014,Capitalis2Â 500Â â‚¬,,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,\n                                        Nikita Zhuk\n,100.00%,\n                                    2500.00 EUR,\n                                Nikita Zhuk\n,\n                                Management board member\n,03.02.2014,
58,AleksandarSpasicOÃœ(16254949),16254949.0,Private limited company,Enteredintotheregister,18.06.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Viru vÃ¤ljak 2 10111,Other education n.e.c.,8559 (EMTAK 2008),85.59,\n                                        Aleksandar Spasi\xc4\x87\n,100.00%,\n                                    2500.00 EUR,\n                                Aleksandar Spasi\xc4\x87\n,\n                                Management board member\n,18.06.2021,
59,AleksanderSpatar(16210018),16210018.0,Sole trader,Deleted,19.04.2021,,,,,,,,,,,,14.06.2021
60,AleksandrBespalov(11565053),11565053.0,Sole trader,Enteredintotheregister,30.12.2008,,Ida-Viru maakond Narva linn Hariduse tn 28-32 20305,Taxi operation,49321 (EMTAK 2008),49.32,,,,\n                                Aleksandr Bespalov\n,\n                                Sole trader\n,30.12.2008,
61,AleksandrSpaÅ¡tÅ¡anski(11610492),11610492.0,Sole trader,Deleted,16.03.2009,,,,,,,,,,,,06.05.2011
62,ALEKSANDRSPATAR(10829923),10829923.0,Sole trader,Deleted,03.01.2002,,,,,,,,,,,,07.11.2011
63,OsaÃ¼hingAlekspa(10166411),10166411.0,Private limited company,Deleted,13.01.1997,,,,,,,,,,,,27.01.2014
64,AlesyanailspaOÃœ(14495850),14495850.0,Private limited company,Enteredintotheregister,28.05.2018,Capitalis2Â 500Â â‚¬,Harju maakond Loksa linn Posti tn 22-11 74805,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,\n                                        Alesja Mura\xc5\xa1ova\n,100.00%,\n                                    2500.00 EUR,\n                                Alesja Mura\xc5\xa1ova\n,\n                                Management board member\n,28.05.2018,
65,OsaÃ¼hingAlfaEhituspartner(11193083),11193083.0,Private limited company,Deleted,21.11.2005,,,,,,,,,,,,11.08.2009
66,AlliklepaInvestOsaÃ¼hing(11023197),11023197.0,Private limited company,Deleted,26.03.2004,,,,,,,,,,,,09.09.2009
67,AllSparkEnergy1UÃœ(16102576),16102576.0,Limited partnership,Enteredintotheregister,20.11.2020,,Harju maakond Tallinn LasnamÃ¤e linnaosa Suur-SÃµjamÃ¤e tn 50a 11415,Production of electricity,3511 (EMTAK 2008),35.11,,,,\n                                AllSpark Energy O\xc3\x9c\n,\n                                General partner\n,20.11.2020,
68,AllSparkEnergy2UÃœ(16102725),16102725.0,Limited partnership,Enteredintotheregister,20.11.2020,,Harju maakond Tallinn LasnamÃ¤e linnaosa Suur-SÃµjamÃ¤e tn 50a 11415,Production of electricity,3511 (EMTAK 2008),35.11,,,,\n                                AllSpark Energy O\xc3\x9c\n,\n                                General partner\n,20.11.2020,
69,AllSparkEnergy3UÃœ(16102665),16102665.0,Limited partnership,Enteredintotheregister,20.11.2020,,Harju maakond Tallinn LasnamÃ¤e linnaosa Suur-SÃµjamÃ¤e tn 50a 11415,Production of electricity,3511 (EMTAK 2008),35.11,,,,\n                                AllSpark Energy O\xc3\x9c\n,\n                                General partner\n,20.11.2020,
70,AllSparkEnergy4UÃœ(16102688),16102688.0,Limited partnership,Enteredintotheregister,20.11.2020,,Harju maakond Tallinn LasnamÃ¤e linnaosa Suur-SÃµjamÃ¤e tn 50a 11415,Production of electricity,3511 (EMTAK 2008),35.11,,,,\n                                AllSpark Energy O\xc3\x9c\n,\n                                General partner\n,20.11.2020,
71,AllSparkEnergy5UÃœ(16102754),16102754.0,Limited partnership,Enteredintotheregister,20.11.2020,,Harju maakond Tallinn LasnamÃ¤e linnaosa Suur-SÃµjamÃ¤e tn 50a 11415,Production of electricity,3511 (EMTAK 2008),35.11,,,,\n                                AllSpark Energy O\xc3\x9c\n,\n                                General partner\n,20.11.2020,
72,AllSparkEnergyOÃœ(16100883),16100883.0,Private limited company,Enteredintotheregister,18.11.2020,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Suur-SÃµjamÃ¤e tn 50a 11415,Production of electricity,3511 (EMTAK 2008),35.11,\n                                        Erki Kimber\n,100.00%,\n                                    2500.00 EUR,\n                                Erki Kimber\n,\n                                Management board member\n,18.11.2020,
73,AllSparkGroupOÃœ(12208510),12208510.0,Private limited company,Enteredintotheregister,21.12.2011,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Suur-SÃµjamÃ¤e tn 50a 11415,Combined facilities support activities,81101 (EMTAK 2008),81.1,\n                                        Erki Kimber\n,100.00%,\n                                    2500.00 EUR,\n                                Erki Kimber\n,\n                                Management board member\n,21.12.2011,
74,AllSparkOÃœ(12989482),12989482.0,Private limited company,Enteredintotheregister,03.02.2016,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Suur-SÃµjamÃ¤e tn 50a 11415,Other electronical communications services,61901 (EMTAK 2008),61.9,"\n, \n","66.64%, 33.36%","\n                                    1666.00 EUR, \n                                    834.00 EUR",\n                                Indrek Allert\n,\n                                Management board member\n,04.05.2018,
75,ALSpar&InvestOÃœ(16315450),16315450.0,Private limited company,Enteredintotheregister,14.09.2021,Capitalis2Â 500Â â‚¬,Valga maakond TÃµrva vald TÃµrva linn Kooli tn 9a 68604,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,\n                                        Arvi Lepik\n,100.00%,\n                                    2500.00 EUR,\n                                Arvi Lepik\n,\n                                Management board member\n,14.09.2021,
76,osaÃ¼hingAmritaSalong(11278508),11278508.0,Private limited company,Deleted,07.08.2006,,,,,,,,,,,,15.03.2016
77,OsaÃ¼hingAMUN(11471961),11471961.0,Private limited company,,25.02.2008,Capitalis40Â 000Â EEK,Harju maakond Tallinn Kesklinna linnaosa Jakobi tn 22-1 10144,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,\n                                        Anton Vassiljev\n,100.00%,\n                                    40000.00 EEK,\n                                Anton Vassiljev\n,\n                                Liquidator\n,16.05.2012,
78,AndreiMaspanov(11795528),11795528.0,Sole trader,Deleted,30.11.2009,,,,,,,,,,,,09.06.2010
79,AnitiwSpaceOÃœ(16535269),16535269.0,Private limited company,Enteredintotheregister,13.07.2022,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa SÃµbra tn 24b 10920,Specialised design activities,74101 (EMTAK 2008),74.1,\n                                        Triin Treimann\n,100.00%,\n                                    2500.00 EUR,\n                                Triin Treimann\n,\n                                Management board member\n,13.07.2022,
80,AnnikaRaimConsultancyOÃœ(14064647),14064647.0,Private limited company,Enteredintotheregister,10.06.2016,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Poordi tn 3-14 10156,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,\n                                        Annika R\xc3\xa4im\n,100.00%,\n                                    2500.00 EUR,\n                                Annika R\xc3\xa4im\n,\n                                Management board member\n,19.01.2018,
81,ANSASPARIKAUBANDUSEOÃœ(10860985),10860985.0,Private limited company,Deleted,16.04.2002,,,,,,,,,,,,13.05.2022
82,AnsparOÃœ(16445804),16445804.0,Private limited company,Enteredintotheregister,18.02.2022,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Sakala tn 7-2 10141,Computer programming activities,62011 (EMTAK 2008),62.01,"\n                                        Vahe Grigoryan\n, \n                                        Thanawat Thomas\n","55.00%, 45.00%","\n                                    1375.00 EUR, \n                                    1125.00 EUR",\n                                Thanawat Thomas\n,\n                                Management board member\n,18.02.2022,
83,AntukNLPosaÃ¼hing(10343273),10343273.0,Private limited company,Deleted,09.12.1997,,,,,,,,,,,,31.12.2003
84,APJuhtimispartnerOÃœ(14242764),14242764.0,Private limited company,Enteredintotheregister,18.04.2017,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Valukoja tn 9 11415,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,\n                                        Aile Pilberg\n,100.00%,\n                                    2500.00 EUR,\n                                Aile Pilberg\n,\n                                Management board member\n,18.04.2017,
85,OÃœAqua-SpasKaubandus(10635834),10635834.0,Private limited company,Deleted,14.01.2000,,,,,,,,,,,,20.12.2005
86,ArameyaOÃœ(11953810),11953810.0,Private limited company,Enteredintotheregister,10.06.2010,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn Kristiine linnaosa Hane tn 8-11 13418,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,\n                                        Jana Kallas\n,100.00%,\n                                    2556.00 EUR,\n                                Jana Maria Kallas\n,\n                                Management board member\n,08.04.2015,
87,AraspaOÃœ(14640393),14640393.0,Private limited company,Enteredintotheregister,11.01.2019,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Rapla tn 5a-2 11312,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,\n                                        Aarne P\xc3\xb5der\n,100.00%,\n                                    2500.00 EUR,\n                                Aarne P\xc3\xb5der\n,\n                                Management board member\n,11.01.2019,
88,ArcticEventOÃœ(12412794),12412794.0,Private limited company,Deleted,29.01.2013,,,,,,,,,,,,06.06.2019
